"DATE","B117","SA351","P1","TOTAL","C_SUM"
"2020-12-15",1,0,0,1,1
"2020-12-16",0,0,0,0,1
"2020-12-17",1,0,0,1,2
"2020-12-18",0,0,0,0,2
"2020-12-19",0,0,0,0,2
"2020-12-20",0,0,0,0,2
"2020-12-21",1,0,0,1,3
"2020-12-22",0,0,0,0,3
"2020-12-23",1,0,0,1,4
"2020-12-24",1,0,0,1,5
"2020-12-25",0,0,0,0,5
"2020-12-26",0,0,0,0,5
"2020-12-27",0,0,0,0,5
"2020-12-28",0,0,0,0,5
"2020-12-29",0,0,0,0,5
"2020-12-30",0,0,0,0,5
"2020-12-31",0,0,0,0,5
"2021-01-01",4,0,0,4,9
"2021-01-02",1,0,0,1,10
"2021-01-03",1,1,0,2,12
"2021-01-04",1,0,0,1,13
"2021-01-05",1,0,0,1,14
"2021-01-06",1,0,0,1,15
"2021-01-07",2,1,0,3,18
"2021-01-08",1,0,0,1,19
"2021-01-09",3,0,0,3,22
"2021-01-10",0,0,0,0,22
"2021-01-11",0,0,0,0,22
"2021-01-12",2,0,0,2,24
"2021-01-13",1,0,0,1,25
"2021-01-14",1,0,0,1,26
"2021-01-15",4,1,0,5,31
"2021-01-16",6,0,0,6,37
"2021-01-17",0,1,0,1,38
"2021-01-18",1,1,0,2,40
"2021-01-19",0,0,0,0,40
"2021-01-20",2,1,0,3,43
"2021-01-21",2,0,0,2,45
"2021-01-22",3,0,0,3,48
"2021-01-23",2,0,0,2,50
"2021-01-24",1,0,0,1,51
"2021-01-25",9,1,0,10,61
"2021-01-26",0,0,0,0,61
"2021-01-27",4,0,0,4,65
"2021-01-28",12,0,0,12,77
"2021-01-29",4,0,0,4,81
"2021-01-30",6,0,0,6,87
"2021-01-31",5,0,0,5,92
"2021-02-01",7,1,0,8,100
"2021-02-02",11,0,0,11,111
"2021-02-03",7,3,0,10,121
"2021-02-04",15,0,0,15,136
"2021-02-05",22,0,0,22,158
"2021-02-06",7,0,0,7,165
"2021-02-07",5,0,0,5,170
"2021-02-08",2,0,0,2,172
"2021-02-09",13,0,0,13,185
"2021-02-10",16,0,0,16,201
"2021-02-11",10,0,0,10,211
"2021-02-12",25,0,0,25,236
"2021-02-13",8,0,0,8,244
"2021-02-14",4,0,0,4,248
"2021-02-15",7,0,0,7,255
"2021-02-16",10,0,0,10,265
"2021-02-17",8,0,0,8,273
"2021-02-18",7,0,0,7,280
"2021-02-19",15,0,0,15,295
"2021-02-20",19,0,0,19,314
"2021-02-21",11,0,0,11,325
"2021-02-22",19,0,0,19,344
"2021-02-23",24,0,0,24,368
"2021-02-24",21,0,0,21,389
"2021-02-25",32,0,0,32,421
"2021-02-26",31,1,0,32,453
"2021-02-27",16,0,0,16,469
"2021-02-28",34,1,0,35,504
"2021-03-01",14,0,0,14,518
"2021-03-02",32,2,0,34,552
"2021-03-03",26,1,0,27,579
"2021-03-04",36,0,0,36,615
"2021-03-05",29,2,0,31,646
"2021-03-06",46,0,0,46,692
"2021-03-07",32,0,0,32,724
"2021-03-08",34,0,2,36,760
"2021-03-09",47,0,0,47,807
"2021-03-10",73,0,0,73,880
"2021-03-11",58,0,0,58,938
"2021-03-12",61,0,0,61,999
"2021-03-13",64,0,0,64,1063
"2021-03-14",74,0,0,74,1137
"2021-03-15",69,0,0,69,1206
"2021-03-16",108,0,0,108,1314
"2021-03-17",92,0,0,92,1406
"2021-03-18",11,0,0,11,1417
"2021-03-19",0,0,0,0,1417
