"DATE","B117","SA351","P1","B1617","TOTAL","C_SUM"
"2020-12-15",1,0,0,0,1,1
"2020-12-16",0,0,0,0,0,1
"2020-12-17",1,0,0,0,1,2
"2020-12-18",0,0,0,0,0,2
"2020-12-19",0,0,0,0,0,2
"2020-12-20",0,0,0,0,0,2
"2020-12-21",1,0,0,0,1,3
"2020-12-22",1,0,0,0,1,4
"2020-12-23",1,0,0,0,1,5
"2020-12-24",1,0,0,0,1,6
"2020-12-25",0,0,0,0,0,6
"2020-12-26",1,0,0,0,1,7
"2020-12-27",0,0,0,0,0,7
"2020-12-28",0,0,0,0,0,7
"2020-12-29",0,0,0,0,0,7
"2020-12-30",0,0,0,0,0,7
"2020-12-31",0,0,0,0,0,7
"2021-01-01",4,0,0,0,4,11
"2021-01-02",1,0,0,0,1,12
"2021-01-03",1,1,0,0,2,14
"2021-01-04",1,0,0,0,1,15
"2021-01-05",1,0,0,0,1,16
"2021-01-06",1,0,0,0,1,17
"2021-01-07",2,1,0,0,3,20
"2021-01-08",1,0,0,0,1,21
"2021-01-09",3,0,0,0,3,24
"2021-01-10",0,0,0,0,0,24
"2021-01-11",0,0,0,0,0,24
"2021-01-12",2,0,0,0,2,26
"2021-01-13",1,0,0,0,1,27
"2021-01-14",1,0,0,0,1,28
"2021-01-15",4,1,0,0,5,33
"2021-01-16",6,0,0,0,6,39
"2021-01-17",1,1,0,0,2,41
"2021-01-18",1,1,0,0,2,43
"2021-01-19",0,0,0,0,0,43
"2021-01-20",3,1,0,0,4,47
"2021-01-21",2,0,0,0,2,49
"2021-01-22",3,0,0,0,3,52
"2021-01-23",2,0,0,0,2,54
"2021-01-24",1,0,0,0,1,55
"2021-01-25",9,1,0,0,10,65
"2021-01-26",0,0,0,0,0,65
"2021-01-27",4,0,0,0,4,69
"2021-01-28",12,0,0,0,12,81
"2021-01-29",4,0,0,0,4,85
"2021-01-30",6,0,0,0,6,91
"2021-01-31",5,0,0,0,5,96
"2021-02-01",7,1,0,0,8,104
"2021-02-02",11,0,0,0,11,115
"2021-02-03",9,3,0,0,12,127
"2021-02-04",15,0,0,0,15,142
"2021-02-05",22,0,0,0,22,164
"2021-02-06",7,0,0,0,7,171
"2021-02-07",5,0,0,0,5,176
"2021-02-08",2,0,0,0,2,178
"2021-02-09",14,0,0,0,14,192
"2021-02-10",16,0,0,0,16,208
"2021-02-11",10,0,0,0,10,218
"2021-02-12",25,0,0,0,25,243
"2021-02-13",8,0,0,0,8,251
"2021-02-14",4,0,0,0,4,255
"2021-02-15",7,0,0,0,7,262
"2021-02-16",10,0,0,0,10,272
"2021-02-17",8,0,0,0,8,280
"2021-02-18",7,0,0,0,7,287
"2021-02-19",15,0,0,0,15,302
"2021-02-20",19,0,0,0,19,321
"2021-02-21",11,0,0,0,11,332
"2021-02-22",19,0,0,0,19,351
"2021-02-23",24,0,0,0,24,375
"2021-02-24",21,0,0,0,21,396
"2021-02-25",32,0,0,0,32,428
"2021-02-26",31,1,0,0,32,460
"2021-02-27",16,0,0,0,16,476
"2021-02-28",34,1,0,0,35,511
"2021-03-01",14,0,0,0,14,525
"2021-03-02",32,2,0,0,34,559
"2021-03-03",26,1,0,0,27,586
"2021-03-04",36,0,0,0,36,622
"2021-03-05",29,2,0,0,31,653
"2021-03-06",46,0,0,0,46,699
"2021-03-07",32,1,0,0,33,732
"2021-03-08",34,0,2,0,36,768
"2021-03-09",47,0,0,0,47,815
"2021-03-10",73,0,0,0,73,888
"2021-03-11",58,0,0,0,58,946
"2021-03-12",66,0,0,0,66,1012
"2021-03-13",64,0,0,0,64,1076
"2021-03-14",75,1,1,0,77,1153
"2021-03-15",70,1,0,0,71,1224
"2021-03-16",111,0,2,0,113,1337
"2021-03-17",123,0,2,0,125,1462
"2021-03-18",192,4,2,0,198,1660
"2021-03-19",126,0,1,0,127,1787
"2021-03-20",153,0,2,0,155,1942
"2021-03-21",174,1,5,0,180,2122
"2021-03-22",165,0,6,0,171,2293
"2021-03-23",186,0,10,0,196,2489
"2021-03-24",239,0,4,1,244,2733
"2021-03-25",204,0,7,0,211,2944
"2021-03-26",243,0,12,0,255,3199
"2021-03-27",268,0,8,0,276,3475
"2021-03-28",241,0,8,0,249,3724
"2021-03-29",288,0,5,0,293,4017
"2021-03-30",426,1,16,0,443,4460
"2021-03-31",421,0,21,0,442,4902
"2021-04-01",573,1,25,0,599,5501
"2021-04-02",580,0,23,0,603,6104
"2021-04-03",522,1,24,0,547,6651
"2021-04-04",478,1,24,0,503,7154
"2021-04-05",507,0,31,0,538,7692
"2021-04-06",786,1,38,0,825,8517
"2021-04-07",799,1,32,0,832,9349
"2021-04-08",879,3,47,1,930,10279
"2021-04-09",746,3,38,0,787,11066
"2021-04-10",733,2,44,0,779,11845
"2021-04-11",658,4,37,0,699,12544
"2021-04-12",654,4,33,0,691,13235
"2021-04-13",863,3,53,0,919,14154
"2021-04-14",973,6,79,0,1058,15212
"2021-04-15",1030,1,71,0,1102,16314
"2021-04-16",969,1,54,0,1024,17338
"2021-04-17",918,7,62,0,987,18325
"2021-04-18",845,2,77,0,924,19249
"2021-04-19",852,8,79,0,939,20188
"2021-04-20",1131,8,103,0,1242,21430
"2021-04-21",1199,5,89,0,1293,22723
"2021-04-22",1183,0,85,0,1268,23991
"2021-04-23",1035,1,77,0,1113,25104
"2021-04-24",1003,2,65,0,1070,26174
"2021-04-25",1028,4,70,0,1102,27276
"2021-04-26",1020,3,76,0,1099,28375
"2021-04-27",1241,3,94,0,1338,29713
"2021-04-28",1387,1,90,0,1478,31191
"2021-04-29",1330,4,79,0,1413,32604
"2021-04-30",1618,2,113,0,1733,34337
"2021-05-01",768,5,24,0,797,35134
"2021-05-02",664,0,9,0,673,35807
"2021-05-03",83,0,0,0,83,35890
