"DATE","B117","SA351","P1","TOTAL","C_SUM"
"2020-12-15",1,0,0,1,1
"2020-12-16",0,0,0,0,1
"2020-12-17",1,0,0,1,2
"2020-12-18",0,0,0,0,2
"2020-12-19",0,0,0,0,2
"2020-12-20",0,0,0,0,2
"2020-12-21",1,0,0,1,3
"2020-12-22",0,0,0,0,3
"2020-12-23",1,0,0,1,4
"2020-12-24",1,0,0,1,5
"2020-12-25",0,0,0,0,5
"2020-12-26",1,0,0,1,6
"2020-12-27",0,0,0,0,6
"2020-12-28",0,0,0,0,6
"2020-12-29",0,0,0,0,6
"2020-12-30",0,0,0,0,6
"2020-12-31",0,0,0,0,6
"2021-01-01",4,0,0,4,10
"2021-01-02",1,0,0,1,11
"2021-01-03",1,1,0,2,13
"2021-01-04",1,0,0,1,14
"2021-01-05",1,0,0,1,15
"2021-01-06",1,0,0,1,16
"2021-01-07",2,1,0,3,19
"2021-01-08",1,0,0,1,20
"2021-01-09",3,0,0,3,23
"2021-01-10",0,0,0,0,23
"2021-01-11",0,0,0,0,23
"2021-01-12",2,0,0,2,25
"2021-01-13",1,0,0,1,26
"2021-01-14",1,0,0,1,27
"2021-01-15",4,1,0,5,32
"2021-01-16",6,0,0,6,38
"2021-01-17",0,1,0,1,39
"2021-01-18",1,1,0,2,41
"2021-01-19",0,0,0,0,41
"2021-01-20",2,1,0,3,44
"2021-01-21",2,0,0,2,46
"2021-01-22",3,0,0,3,49
"2021-01-23",2,0,0,2,51
"2021-01-24",1,0,0,1,52
"2021-01-25",9,1,0,10,62
"2021-01-26",0,0,0,0,62
"2021-01-27",4,0,0,4,66
"2021-01-28",12,0,0,12,78
"2021-01-29",4,0,0,4,82
"2021-01-30",6,0,0,6,88
"2021-01-31",5,0,0,5,93
"2021-02-01",7,1,0,8,101
"2021-02-02",11,0,0,11,112
"2021-02-03",7,3,0,10,122
"2021-02-04",15,0,0,15,137
"2021-02-05",22,0,0,22,159
"2021-02-06",7,0,0,7,166
"2021-02-07",5,0,0,5,171
"2021-02-08",2,0,0,2,173
"2021-02-09",13,0,0,13,186
"2021-02-10",16,0,0,16,202
"2021-02-11",10,0,0,10,212
"2021-02-12",25,0,0,25,237
"2021-02-13",8,0,0,8,245
"2021-02-14",4,0,0,4,249
"2021-02-15",7,0,0,7,256
"2021-02-16",10,0,0,10,266
"2021-02-17",8,0,0,8,274
"2021-02-18",7,0,0,7,281
"2021-02-19",15,0,0,15,296
"2021-02-20",19,0,0,19,315
"2021-02-21",11,0,0,11,326
"2021-02-22",19,0,0,19,345
"2021-02-23",24,0,0,24,369
"2021-02-24",21,0,0,21,390
"2021-02-25",32,0,0,32,422
"2021-02-26",31,1,0,32,454
"2021-02-27",16,0,0,16,470
"2021-02-28",34,1,0,35,505
"2021-03-01",14,0,0,14,519
"2021-03-02",32,2,0,34,553
"2021-03-03",26,1,0,27,580
"2021-03-04",36,0,0,36,616
"2021-03-05",29,2,0,31,647
"2021-03-06",46,0,0,46,693
"2021-03-07",32,0,0,32,725
"2021-03-08",34,0,2,36,761
"2021-03-09",47,0,0,47,808
"2021-03-10",73,0,0,73,881
"2021-03-11",58,0,0,58,939
"2021-03-12",61,0,0,61,1000
"2021-03-13",64,0,0,64,1064
"2021-03-14",74,0,0,74,1138
"2021-03-15",70,0,0,70,1208
"2021-03-16",111,0,0,111,1319
"2021-03-17",121,0,0,121,1440
"2021-03-18",154,0,0,154,1594
"2021-03-19",7,0,0,7,1601
"2021-03-20",0,0,0,0,1601
