"DATE","B117","SA351","P1","B1617","TOTAL","C_SUM"
"2020-12-15",1,0,0,0,1,1
"2020-12-16",0,0,0,0,0,1
"2020-12-17",1,0,0,0,1,2
"2020-12-18",0,0,0,0,0,2
"2020-12-19",0,0,0,0,0,2
"2020-12-20",0,0,0,0,0,2
"2020-12-21",1,0,0,0,1,3
"2020-12-22",1,0,0,0,1,4
"2020-12-23",1,0,0,0,1,5
"2020-12-24",1,0,0,0,1,6
"2020-12-25",0,0,0,0,0,6
"2020-12-26",1,0,0,0,1,7
"2020-12-27",0,0,0,0,0,7
"2020-12-28",0,0,0,0,0,7
"2020-12-29",0,0,0,0,0,7
"2020-12-30",0,0,0,0,0,7
"2020-12-31",0,0,0,0,0,7
"2021-01-01",4,0,0,0,4,11
"2021-01-02",1,0,0,0,1,12
"2021-01-03",1,1,0,0,2,14
"2021-01-04",1,0,0,0,1,15
"2021-01-05",1,0,0,0,1,16
"2021-01-06",1,0,0,0,1,17
"2021-01-07",2,1,0,0,3,20
"2021-01-08",1,0,0,0,1,21
"2021-01-09",3,0,0,0,3,24
"2021-01-10",0,0,0,0,0,24
"2021-01-11",0,0,0,0,0,24
"2021-01-12",2,0,0,0,2,26
"2021-01-13",1,0,0,0,1,27
"2021-01-14",1,0,0,0,1,28
"2021-01-15",4,1,0,0,5,33
"2021-01-16",6,0,0,0,6,39
"2021-01-17",1,1,0,0,2,41
"2021-01-18",1,1,0,0,2,43
"2021-01-19",0,0,0,0,0,43
"2021-01-20",3,1,0,0,4,47
"2021-01-21",2,0,0,0,2,49
"2021-01-22",3,0,0,0,3,52
"2021-01-23",2,0,0,0,2,54
"2021-01-24",1,0,0,0,1,55
"2021-01-25",9,1,0,0,10,65
"2021-01-26",0,0,0,0,0,65
"2021-01-27",4,0,0,0,4,69
"2021-01-28",12,0,0,0,12,81
"2021-01-29",4,0,0,0,4,85
"2021-01-30",6,0,0,0,6,91
"2021-01-31",5,0,0,0,5,96
"2021-02-01",7,1,0,0,8,104
"2021-02-02",11,0,0,0,11,115
"2021-02-03",9,3,0,0,12,127
"2021-02-04",15,0,0,0,15,142
"2021-02-05",22,0,0,0,22,164
"2021-02-06",7,0,0,0,7,171
"2021-02-07",5,1,0,0,6,177
"2021-02-08",2,0,0,0,2,179
"2021-02-09",14,0,0,0,14,193
"2021-02-10",16,0,0,0,16,209
"2021-02-11",10,0,0,0,10,219
"2021-02-12",25,0,0,0,25,244
"2021-02-13",8,0,0,0,8,252
"2021-02-14",4,0,0,0,4,256
"2021-02-15",7,0,0,0,7,263
"2021-02-16",10,0,0,0,10,273
"2021-02-17",8,0,0,0,8,281
"2021-02-18",7,0,0,0,7,288
"2021-02-19",15,0,0,0,15,303
"2021-02-20",19,0,0,0,19,322
"2021-02-21",11,0,0,0,11,333
"2021-02-22",19,0,0,0,19,352
"2021-02-23",24,0,0,0,24,376
"2021-02-24",21,0,0,0,21,397
"2021-02-25",32,0,0,0,32,429
"2021-02-26",31,1,0,0,32,461
"2021-02-27",16,0,0,0,16,477
"2021-02-28",34,1,0,0,35,512
"2021-03-01",14,0,0,0,14,526
"2021-03-02",32,2,0,0,34,560
"2021-03-03",26,1,0,0,27,587
"2021-03-04",37,1,0,0,38,625
"2021-03-05",29,2,0,0,31,656
"2021-03-06",46,0,0,0,46,702
"2021-03-07",32,1,0,0,33,735
"2021-03-08",34,0,2,0,36,771
"2021-03-09",47,0,0,0,47,818
"2021-03-10",73,0,0,0,73,891
"2021-03-11",58,0,0,0,58,949
"2021-03-12",66,0,0,0,66,1015
"2021-03-13",64,0,0,0,64,1079
"2021-03-14",75,1,1,0,77,1156
"2021-03-15",70,1,0,0,71,1227
"2021-03-16",111,0,2,0,113,1340
"2021-03-17",123,0,2,0,125,1465
"2021-03-18",192,4,2,0,198,1663
"2021-03-19",126,0,1,0,127,1790
"2021-03-20",153,0,2,0,155,1945
"2021-03-21",174,1,5,0,180,2125
"2021-03-22",165,0,6,0,171,2296
"2021-03-23",186,0,10,0,196,2492
"2021-03-24",239,0,4,1,244,2736
"2021-03-25",204,0,7,0,211,2947
"2021-03-26",243,0,12,0,255,3202
"2021-03-27",268,0,8,0,276,3478
"2021-03-28",241,0,8,0,249,3727
"2021-03-29",288,0,5,0,293,4020
"2021-03-30",426,1,16,0,443,4463
"2021-03-31",421,0,21,0,442,4905
"2021-04-01",573,1,25,0,599,5504
"2021-04-02",580,0,23,0,603,6107
"2021-04-03",522,1,24,0,547,6654
"2021-04-04",478,1,24,0,503,7157
"2021-04-05",507,0,31,0,538,7695
"2021-04-06",786,1,38,0,825,8520
"2021-04-07",798,1,33,0,832,9352
"2021-04-08",879,3,47,1,930,10282
"2021-04-09",746,3,38,0,787,11069
"2021-04-10",733,2,44,0,779,11848
"2021-04-11",660,4,35,1,700,12548
"2021-04-12",654,4,33,0,691,13239
"2021-04-13",862,3,53,0,918,14157
"2021-04-14",974,6,79,1,1060,15217
"2021-04-15",1030,1,72,0,1103,16320
"2021-04-16",969,1,54,1,1025,17345
"2021-04-17",918,7,63,0,988,18333
"2021-04-18",845,2,77,0,924,19257
"2021-04-19",853,8,79,0,940,20197
"2021-04-20",1132,8,103,0,1243,21440
"2021-04-21",1200,5,89,1,1295,22735
"2021-04-22",1182,0,85,0,1267,24002
"2021-04-23",1035,1,77,0,1113,25115
"2021-04-24",1004,2,65,0,1071,26186
"2021-04-25",1029,4,70,0,1103,27289
"2021-04-26",1026,3,76,0,1105,28394
"2021-04-27",1243,3,94,0,1340,29734
"2021-04-28",1388,3,93,0,1484,31218
"2021-04-29",1336,4,79,0,1419,32637
"2021-04-30",1676,2,112,0,1790,34427
"2021-05-01",783,5,27,0,815,35242
"2021-05-02",900,3,38,0,941,36183
"2021-05-03",555,6,24,0,585,36768
"2021-05-04",460,0,40,0,500,37268
"2021-05-05",426,1,23,0,450,37718
"2021-05-06",321,0,27,0,348,38066
"2021-05-07",145,0,3,0,148,38214
